POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 0, 0, 0, 45, 128, 0, 128, 0
1, 0, 0, 0, 45, 128, 0, 128, 0
2, 3, 15.6444, 0, 101, 129, 3, 125, 5
3, 5, 11.7826, 0.383523, 126, 130, 6, 123, 9
4, 9, 18.5217, 0, 156, 131, 10, 121, 15
5, 10, 7.33644, 0.485917, 165, 131, 11, 120, 17
6, 10, 4.47632, 0, 165, 132, 11, 119, 17
7, 10, 1.23813, 0, 165, 132, 11, 119, 17
8, 10, 4.11247, 0, 165, 131, 11, 120, 17
9, 10, 1.08419, 0, 165, 131, 11, 120, 17
10, 10, 4.39688, 0, 165, 132, 11, 119, 17
11, 10, 1.80334, 0, 165, 132, 11, 119, 17
12, 10, 4.15858, 0, 165, 131, 11, 120, 17
13, 10, 0.669744, 0, 165, 131, 11, 120, 17
14, 10, 4.4335, 0, 165, 132, 11, 119, 17
15, 10, 0.877111, 0, 165, 132, 11, 119, 17
16, 10, 4.74355, 0, 165, 131, 11, 120, 17
17, 10, 0.628309, 0, 165, 131, 11, 120, 17
18, 10, 4.59906, 0, 165, 132, 11, 119, 17
19, 10, 0.488671, 0, 165, 132, 11, 119, 17
20, 10, 4.43619, 0, 165, 131, 11, 120, 17
21, 10, 1.56908, 0, 165, 131, 11, 120, 17
22, 10, 0.819186, 0, 165, 131, 11, 120, 17
23, 10, 3.88848, 0, 165, 131, 11, 120, 17
24, 10, 4.37388, 0, 165, 132, 11, 119, 17
25, 10, 3.1533, 0, 165, 132, 11, 119, 17
26, 10, 3.97849, 0, 165, 131, 11, 120, 17
27, 10, 0.740822, 0, 165, 131, 11, 120, 17
28, 10, 3.86703, 0, 165, 131, 11, 120, 17
29, 10, 3.81457, 0, 165, 132, 11, 119, 17
30, 10, 2.61121, 0, 165, 132, 11, 119, 17
31, 10, 1.11563, 0, 165, 132, 11, 119, 17
32, 10, 1.93392, 0, 165, 132, 11, 119, 17
33, 10, 1.99675, 0, 165, 132, 11, 119, 17
34, 10, 3.21744, 0, 165, 132, 11, 119, 17
35, 10, 2.2436, 0, 165, 131, 11, 120, 17
36, 10, 2.40034, 0, 165, 131, 11, 120, 17
37, 10, 1.10912, 0, 165, 131, 11, 120, 17
38, 10, 0.759055, 0, 165, 131, 11, 120, 17
39, 10, 0.160008, 0, 165, 131, 11, 120, 17
40, 10, 0.170629, 0, 165, 131, 11, 120, 17
41, 10, 0.0936683, 0, 165, 131, 11, 120, 17
42, 10, 0.197985, 0, 165, 131, 11, 120, 17
43, 10, 0.0816176, 0, 165, 131, 11, 120, 17
44, 10, 0.130324, 0, 165, 131, 11, 120, 17
45, 10, 0.0449483, 0, 165, 131, 11, 120, 17
46, 10, 0.165523, 0, 165, 131, 11, 120, 17
47, 10, 0.575245, 0, 165, 131, 11, 120, 17
48, 10, 1.47211, 0, 165, 131, 11, 120, 17
49, 10, 0.650586, 0, 165, 131, 11, 120, 17
50, 10, 0.908932, 0, 165, 131, 11, 120, 17
51, 10, 0.539801, 0, 165, 131, 11, 120, 17
52, 10, 0.817225, 0, 165, 131, 11, 120, 17
