POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 0, 0, 0, 47, 128, 0, 128, 0
1, 0, 2.19484, 0, 48, 128, 0, 127, 0
2, 0, 2.52704, -0, 50, 128, 0, 126, 0
3, 1, 2.68185, -0, 53, 129, 0, 126, 1
4, 1, 3.07022, 0, 55, 130, 1, 125, 1
5, 2, 3.25294, 0.325709, 58, 131, 1, 125, 2
6, 2, 3.64227, 0, 60, 131, 1, 125, 2
7, 3, 3.56586, 0, 62, 132, 1, 124, 2
8, 3, 4.24224, 0, 64, 132, 2, 124, 3
9, 4, 4.24982, 0, 66, 133, 2, 123, 3
10, 4, 4.58935, 0, 68, 134, 2, 123, 3
11, 5, 4.11731, 0, 70, 135, 3, 123, 4
12, 5, 5.00952, 0, 72, 135, 3, 122, 4
13, 6, 4.61183, 0, 74, 136, 3, 122, 4
14, 6, 5.27583, 0, 76, 136, 4, 122, 5
15, 6, 4.96498, 0, 78, 137, 4, 121, 5
16, 7, 6.10008, 0, 80, 138, 4, 121, 6
17, 8, 7.12923, 0, 81, 138, 4, 120, 6
18, 8, 7.17435, 0, 83, 139, 5, 120, 7
19, 9, 7.13513, 0, 85, 139, 5, 120, 7
20, 9, 7.70423, 0, 86, 140, 6, 119, 8
21, 10, 8.55396, 0, 88, 141, 6, 119, 8
22, 11, 9.00576, 0, 89, 141, 7, 118, 9
23, 12, 10.6551, 0, 91, 142, 9, 118, 11
24, 11, 12.4915, 0, 94, 142, 9, 118, 11
25, 12, 9.44749, 0, 94, 143, 9, 117, 11
26, 15, 15.1373, 0, 95, 144, 11, 117, 13
27, 14, 14.6161, 0, 97, 144, 8, 116, 11
28, 16, 16.6262, 0, 98, 145, 11, 116, 14
29, 15, 15.2641, 0, 99, 145, 9, 115, 12
30, 17, 19.2119, 0, 100, 146, 12, 115, 15
31, 15, 19.157, 0, 100, 146, 9, 115, 12
32, 17, 17.7181, 0, 100, 146, 12, 115, 14
33, 15, 17.8995, 0, 100, 146, 9, 115, 12
34, 17, 18.7304, 0, 100, 146, 12, 114, 14
35, 14, 19.3586, 0, 100, 146, 9, 115, 11
36, 17, 18.8118, 0, 100, 146, 12, 114, 14
37, 17, 11.7495, 0, 100, 146, 13, 114, 14
38, 16, 11.4035, 0, 100, 146, 12, 114, 13
39, 14, 16.2037, 0, 99, 147, 12, 114, 13
40, 13, 11.5627, 0, 99, 147, 12, 114, 12
41, 15, 12.7942, 0, 99, 147, 12, 114, 13
42, 16, 13.6892, 0, 99, 147, 12, 114, 13
43, 15, 13.4513, 0, 99, 147, 12, 114, 12
44, 16, 13.1268, 0, 100, 147, 12, 114, 13
45, 15, 13.7984, 0, 100, 147, 12, 114, 12
46, 16, 14.258, 0, 100, 147, 12, 114, 13
47, 15, 13.9072, 0, 100, 147, 12, 114, 13
48, 14, 16.1649, 0, 100, 147, 14, 114, 14
49, 14, 7.75443, 0, 100, 147, 14, 114, 14
50, 14, 8.13257, 0, 100, 147, 14, 114, 14
51, 14, 8.44212, 0, 100, 147, 13, 114, 14
52, 14, 8.46931, 0, 100, 147, 14, 114, 14
53, 14, 9.20399, 0, 100, 147, 12, 114, 13
54, 14, 8.24545, 0, 100, 147, 11, 114, 13
55, 14, 11.3989, 0, 100, 147, 12, 114, 13
56, 16, 13.4911, 0, 100, 147, 13, 114, 14
57, 15, 10.8182, 0, 100, 147, 11, 114, 13
58, 14, 13.7084, 0, 100, 147, 10, 114, 12
59, 13, 8.32526, 0, 100, 147, 10, 114, 12
60, 14, 8.42433, 0, 100, 147, 11, 113, 12
61, 13, 8.44037, 0, 100, 147, 10, 114, 12
62, 14, 7.67471, 0, 100, 147, 10, 113, 12
63, 13, 7.83332, 0, 100, 147, 11, 114, 12
64, 14, 10.2797, 0, 100, 147, 13, 113, 13
65, 14, 8.71849, 0, 100, 147, 11, 113, 12
66, 13, 8.55167, 0, 100, 147, 11, 114, 12
67, 14, 5.29224, 0, 100, 147, 11, 114, 12
68, 14, 8.25594, 0, 100, 147, 11, 114, 12
69, 14, 4.88704, 0, 100, 147, 11, 114, 12
70, 14, 6.73457, 0, 100, 147, 11, 114, 12
71, 14, 5.58557, 0, 100, 147, 11, 114, 12
72, 14, 13.9057, 0, 100, 147, 14, 114, 15
73, 13, 6.92083, 0, 100, 147, 13, 114, 14
74, 14, 6.9968, 0, 100, 147, 13, 114, 14
75, 13, 6.81569, 0, 101, 147, 12, 114, 13
76, 14, 7.06951, 0, 100, 147, 12, 114, 13
77, 13, 6.30507, 0, 101, 147, 11, 114, 13
78, 14, 6.89067, 0, 101, 147, 12, 114, 13
79, 26, 144.288, 10.1587, 124, 130, 9, 123, 8
80, 26, 8.33849, 0.900974, 124, 130, 9, 123, 8
81, 26, 23.0678, 0, 124, 130, 9, 123, 8
82, 26, 14.0659, 0, 124, 130, 9, 123, 9
83, 26, 24.6205, 0, 124, 130, 9, 123, 8
84, 26, 16.3493, 0, 123, 130, 9, 123, 8
85, 25, 31.3061, 0, 123, 131, 9, 123, 8
86, 25, 22.6847, 0, 123, 131, 9, 123, 8
87, 25, 34.9284, 0, 123, 131, 9, 123, 8
88, 25, 19.6141, 0, 122, 131, 9, 123, 7
89, 26, 30.4684, 0, 122, 131, 9, 123, 8
90, 27, 20.7038, 0, 122, 131, 9, 123, 8
91, 27, 37.7571, 0, 122, 131, 10, 123, 8
92, 27, 28.8203, 0, 121, 131, 9, 123, 8
93, 27, 43.3178, 0, 121, 132, 10, 123, 8
94, 27, 26.976, 0, 121, 132, 10, 122, 8
95, 27, 51.6081, 0, 120, 132, 10, 122, 8
96, 23, 48.067, 0, 119, 132, 10, 122, 9
97, 24, 56.9155, 0, 119, 133, 10, 122, 9
98, 25, 32.8461, 0.421678, 118, 133, 11, 122, 9
99, 26, 45.6778, 0, 118, 133, 11, 122, 9
100, 26, 28.0138, 0, 117, 133, 11, 122, 9
101, 25, 46.2589, 0, 117, 133, 11, 122, 10
102, 26, 25.7266, 0, 117, 133, 11, 122, 10
103, 26, 47.0867, 0, 117, 133, 11, 122, 10
104, 25, 29.1833, 0, 117, 133, 11, 122, 10
105, 26, 49.8343, 0, 117, 133, 11, 122, 10
106, 26, 35.5573, 0, 117, 134, 11, 122, 10
107, 27, 51.356, 0, 117, 134, 11, 122, 10
108, 28, 32.2181, 0, 117, 134, 12, 122, 10
109, 27, 49.13, 0, 117, 134, 12, 122, 10
110, 28, 32.6832, 0, 117, 134, 12, 122, 10
111, 27, 53.0951, 0, 118, 134, 12, 122, 10
112, 25, 36.8422, 0, 118, 134, 11, 122, 9
113, 28, 55.5482, 0, 118, 134, 12, 122, 11
114, 29, 33.7182, 0, 118, 134, 12, 122, 11
115, 31, 54.8662, 0, 117, 134, 13, 122, 11
116, 30, 33.5276, 0, 117, 134, 13, 122, 12
117, 32, 58.492, 0, 117, 134, 14, 122, 12
118, 33, 40.9699, 0, 117, 134, 14, 122, 12
119, 34, 60.5969, 0, 116, 134, 15, 122, 13
120, 30, 45.247, 0, 116, 134, 12, 122, 10
121, 32, 58.763, 0, 116, 134, 13, 122, 11
122, 33, 33.5465, 0, 116, 134, 13, 122, 11
123, 33, 56.7929, 0, 116, 134, 14, 122, 11
124, 34, 34.2975, 0, 115, 134, 14, 122, 12
125, 33, 57.3013, 0, 115, 134, 14, 122, 12
126, 33, 33.171, 0, 115, 134, 14, 122, 12
127, 34, 73.394, 0.994846, 114, 134, 14, 123, 12
128, 35, 39.2697, 0.463253, 114, 133, 15, 123, 13
129, 36, 60.6098, 0, 114, 133, 15, 123, 13
130, 37, 38.4954, 0, 113, 133, 15, 123, 13
131, 38, 66.1465, 0, 113, 133, 16, 123, 14
132, 39, 40.354, 0, 113, 133, 16, 123, 14
133, 39, 69.339, 0, 112, 133, 15, 123, 13
134, 39, 43.6155, 0, 112, 133, 16, 123, 13
135, 39, 62.7119, 0, 111, 133, 15, 124, 13
136, 38, 39.2625, 0, 111, 133, 15, 124, 12
137, 41, 65.9575, 0, 111, 132, 16, 124, 13
138, 41, 39.2406, 0, 110, 132, 16, 124, 13
139, 43, 67.1062, 0, 110, 132, 17, 124, 14
140, 42, 41.6502, 0, 110, 132, 16, 124, 13
141, 44, 63.3087, 0, 110, 132, 17, 124, 14
142, 44, 38.5812, 0, 110, 132, 17, 124, 14
143, 45, 60.8053, 0, 109, 132, 17, 124, 14
144, 41, 49.4349, 0, 109, 132, 14, 124, 12
145, 43, 57.9685, 0, 109, 132, 15, 124, 13
146, 44, 32.2941, 0, 109, 132, 16, 124, 13
147, 44, 54.5176, 0, 109, 132, 16, 124, 13
148, 44, 32.0702, 0, 109, 132, 16, 124, 13
149, 43, 48.3621, 0, 109, 132, 16, 124, 13
150, 44, 33.7202, 0, 108, 132, 16, 124, 13
151, 44, 50.6997, 0, 108, 132, 16, 124, 14
152, 44, 30.7152, 0, 108, 132, 17, 124, 14
153, 44, 44.1327, 0, 108, 132, 16, 124, 14
154, 45, 20.7581, 0, 108, 132, 16, 124, 14
