POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 0, 0, 0, 45, 128, 0, 128, 0
1, 0, 0.0382081, 0, 45, 128, 0, 128, 0
2, 0, 0.0413263, -0, 45, 128, 0, 128, 0
3, 0, 0.0712282, -0, 45, 128, 0, 128, 0
4, 0, 0.0622821, -0, 45, 128, 0, 128, 0
5, 0, 0.0752723, -0, 45, 128, 0, 128, 0
6, 0, 0.0584559, -0, 45, 128, 0, 128, 0
7, 0, 0.0714733, -0, 45, 128, 0, 128, 0
8, 0, 0.0604984, -0, 45, 128, 0, 128, 0
9, 0, 0.0741285, -0, 45, 128, 0, 128, 0
10, 0, 0.0628949, -0, 45, 128, 0, 128, 0
11, 0, 0.0731481, -0, 45, 128, 0, 128, 0
12, 0, 0.0503268, -0, 45, 128, 0, 128, 0
13, 0, 0.0782407, -0, 45, 128, 0, 128, 0
14, 0, 0.0575163, -0, 45, 128, 0, 128, 0
15, 0, 0.0717865, -0, 45, 128, 0, 128, 0
16, 0, 0.0696078, -0, 45, 128, 0, 128, 0
17, 0, 0.00404412, -0, 45, 128, 0, 128, 0
18, 0, 0.0941721, -0, 45, 128, 0, 128, 0
19, 1, 5.44597, -0, 49, 127, 0, 127, 0
20, 2, 8.36122, 0.183622, 53, 127, 1, 127, 0
21, 3, 5.85527, 0.478399, 57, 126, 1, 127, 0
22, 5, 10.7481, 0, 60, 126, 3, 127, 1
23, 7, 8.44675, 0, 63, 126, 4, 127, 3
24, 8, 9.66993, 0, 68, 126, 4, 127, 3
25, 9, 6.09101, 0, 70, 125, 5, 127, 3
26, 10, 8.96343, 0, 73, 125, 5, 127, 3
27, 11, 6.24813, 0, 75, 125, 6, 127, 4
28, 13, 10.0549, 0, 78, 125, 6, 127, 4
29, 13, 7.34894, 0, 81, 124, 7, 127, 4
30, 15, 10.4627, 0, 83, 124, 8, 127, 5
31, 16, 11.3076, 0, 85, 124, 8, 127, 6
32, 18, 13.4708, 0, 88, 124, 10, 127, 7
33, 18, 13.7612, 0, 90, 123, 10, 127, 7
34, 20, 13.3969, 0, 92, 123, 11, 127, 7
35, 21, 13.6529, 0, 94, 123, 11, 127, 7
36, 22, 13.8005, 0, 97, 123, 13, 127, 8
37, 23, 15.5844, 0, 99, 122, 13, 127, 8
38, 25, 16.8253, 0, 101, 122, 14, 127, 9
39, 25, 24.089, 0, 103, 122, 15, 127, 10
40, 26, 21.5005, 0, 104, 122, 16, 127, 11
41, 29, 24.5617, 0, 106, 121, 17, 127, 11
42, 31, 18.1891, 0, 108, 121, 19, 127, 12
43, 34, 17.9598, 0, 110, 121, 20, 127, 13
44, 34, 15.4095, 0, 112, 121, 21, 127, 13
45, 37, 21.6754, 0, 114, 120, 22, 127, 14
46, 39, 16.607, 0, 116, 120, 23, 127, 15
47, 39, 15.3484, 0, 117, 120, 23, 127, 15
48, 37, 27.5998, 0, 119, 120, 24, 127, 16
49, 38, 15.6046, 0, 119, 120, 24, 127, 16
50, 38, 13.4764, 0, 119, 120, 25, 127, 17
51, 39, 21.2645, 0, 119, 120, 24, 127, 16
52, 39, 12.8913, 0, 119, 120, 26, 127, 17
53, 39, 14.9198, 0, 119, 120, 24, 127, 16
54, 39, 11.1975, 0, 119, 120, 25, 127, 16
55, 39, 7.4991, 0, 119, 120, 24, 127, 16
56, 39, 12.0617, 0, 119, 120, 25, 127, 17
57, 39, 12.1085, 0, 119, 120, 24, 127, 16
58, 39, 11.0916, 0, 119, 120, 24, 127, 16
59, 39, 11.9096, 0, 119, 120, 23, 127, 15
60, 39, 7.93988, 0, 119, 120, 24, 127, 16
61, 39, 12.5518, 0, 119, 120, 23, 127, 16
62, 39, 11.4465, 0, 119, 120, 24, 127, 16
63, 38, 21.9974, 0, 119, 120, 23, 127, 15
64, 37, 19.5206, 0, 119, 120, 24, 127, 16
65, 39, 24.7285, 0, 119, 120, 25, 127, 16
66, 41, 19.7642, 0, 119, 120, 25, 127, 17
67, 41, 12.6413, 0, 119, 120, 26, 127, 17
68, 41, 9.81608, 0, 119, 120, 25, 127, 17
69, 42, 13.6457, 0, 119, 120, 26, 127, 17
70, 42, 14.1392, 0, 119, 120, 25, 127, 17
71, 42, 13.2227, 0, 119, 120, 25, 127, 17
72, 36, 30.1536, 0, 119, 120, 21, 127, 13
73, 36, 6.56083, 0, 119, 120, 21, 127, 13
74, 37, 5.69619, 0, 119, 120, 22, 127, 14
75, 35, 10.7368, 0, 119, 120, 22, 127, 14
76, 30, 46.0274, 3.25981, 119, 119, 21, 126, 14
77, 32, 20.9761, 0, 119, 119, 22, 126, 15
78, 42, 136.93, 3.05109, 115, 122, 31, 127, 21
79, 39, 37.8297, 0.613453, 115, 122, 27, 127, 19
80, 37, 44.4681, 0, 115, 122, 29, 127, 19
81, 38, 37.5117, 0, 115, 122, 27, 127, 18
82, 39, 44.7011, 0, 115, 122, 29, 127, 19
83, 38, 35.0277, 0, 115, 122, 28, 127, 19
84, 40, 55.1764, 0, 115, 122, 31, 127, 20
85, 36, 58.5001, 0, 115, 122, 27, 127, 18
86, 33, 80.882, 0, 115, 122, 29, 127, 19
87, 30, 75.554, 0, 115, 122, 27, 127, 18
88, 27, 92.6714, 0, 116, 122, 30, 127, 20
89, 29, 70.7673, 0, 116, 121, 30, 127, 20
90, 22, 93.4857, 0.409794, 117, 121, 23, 127, 15
91, 25, 77.7366, 0.23533, 117, 121, 25, 127, 17
92, 21, 85.697, 0, 118, 121, 22, 127, 15
93, 19, 77.5062, 0, 118, 121, 18, 127, 12
94, 20, 79.8224, 0, 119, 121, 19, 127, 12
95, 35, 132.908, 0, 117, 122, 23, 129, 16
96, 31, 65.0813, 0.263341, 117, 122, 21, 129, 14
97, 31, 13.7151, 0.476327, 117, 122, 21, 129, 14
98, 31, 17.7773, 0, 117, 122, 22, 129, 15
99, 31, 15.1756, 0, 117, 122, 21, 129, 15
100, 31, 19.6996, 0, 117, 122, 22, 129, 15
101, 31, 20.7899, 0, 117, 122, 21, 129, 15
102, 31, 24.0929, 0, 117, 122, 21, 129, 14
103, 31, 19.6712, 0, 117, 122, 20, 129, 14
104, 31, 23.233, 0, 116, 122, 21, 129, 14
105, 31, 19.0797, 0, 117, 122, 20, 129, 14
106, 31, 17.7212, 0, 117, 122, 20, 129, 14
107, 31, 13.9275, 0, 117, 122, 20, 129, 14
108, 31, 19.0801, 0, 116, 122, 21, 129, 14
109, 31, 16.1589, 0, 116, 123, 20, 129, 14
110, 31, 17.7587, 0, 116, 123, 21, 129, 14
111, 31, 14.4574, 0, 116, 123, 20, 129, 14
112, 31, 20.3598, 0, 116, 123, 22, 129, 14
113, 32, 14.7254, 0, 116, 123, 22, 129, 15
114, 32, 16.8719, 0, 116, 123, 22, 129, 15
115, 32, 9.0395, 0, 116, 123, 22, 129, 15
116, 32, 10.1822, 0, 116, 123, 22, 129, 15
117, 33, 8.92285, 0, 116, 123, 22, 129, 15
118, 33, 8.95817, 0, 116, 123, 22, 129, 15
119, 33, 5.54631, 0, 116, 123, 22, 129, 15
120, 30, 20.2609, 0, 116, 123, 14, 129, 9
121, 30, 6.87074, 0, 116, 123, 14, 129, 9
122, 31, 12.7376, 0, 116, 123, 15, 129, 10
123, 31, 3.88856, 0, 116, 123, 16, 129, 10
124, 38, 181.746, 31.8884, 115, 119, 18, 128, 14
125, 37, 17.2666, 0.836334, 117, 120, 16, 128, 13
126, 36, 12.9428, 0, 118, 120, 16, 128, 13
127, 34, 14.527, 0, 120, 120, 15, 128, 12
128, 34, 18.0659, 0, 121, 121, 15, 128, 12
129, 32, 17.9218, 0, 122, 121, 14, 128, 11
130, 33, 12.0384, 0, 123, 121, 14, 128, 11
131, 31, 12.0902, 0, 123, 121, 13, 128, 11
132, 32, 10.926, 0, 124, 121, 12, 128, 10
133, 31, 12.3611, 0, 125, 122, 12, 128, 10
134, 31, 10.547, 0, 126, 122, 12, 128, 10
135, 31, 9.9805, 0, 127, 122, 11, 128, 9
136, 31, 12.979, 0, 127, 122, 11, 128, 8
137, 32, 12.5591, 0, 128, 122, 11, 128, 9
138, 32, 10.9898, 0, 128, 122, 12, 128, 9
139, 33, 8.13736, 0, 129, 122, 12, 128, 9
140, 33, 14.2317, 0, 130, 122, 12, 128, 10
141, 34, 8.16039, 0, 130, 122, 12, 128, 10
142, 34, 11.1572, 0, 131, 123, 13, 127, 10
143, 35, 9.28002, 0, 131, 123, 13, 127, 10
144, 31, 40.3332, 3.77154, 132, 123, 11, 127, 9
145, 31, 8.22147, 0.768598, 132, 123, 11, 127, 9
146, 32, 9.17003, 0, 133, 123, 12, 127, 10
147, 31, 11.98, 0, 133, 123, 12, 127, 9
148, 33, 13.5904, 0, 133, 123, 12, 127, 10
149, 33, 10.5399, 0, 134, 123, 12, 127, 10
150, 34, 10.2721, 0, 134, 123, 12, 127, 10
151, 34, 9.83563, 0, 135, 123, 12, 127, 10
152, 35, 13.2032, 0, 135, 123, 13, 127, 10
153, 35, 11.2421, 0, 135, 124, 12, 127, 10
