POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
129, 28, 14.3927, 0, 126, 102, 28, 128, 21
130, 28, 15.9143, 0, 126, 102, 28, 128, 21
131, 28, 14.8372, 0, 127, 102, 27, 129, 21
132, 28, 13.6433, 0, 127, 102, 28, 129, 21
133, 28, 12.9616, 0, 126, 102, 27, 129, 21
134, 28, 11.0617, 0, 126, 102, 28, 128, 21
135, 28, 13.3471, 0, 126, 103, 27, 128, 20
136, 27, 13.8889, 0, 126, 102, 27, 128, 20
137, 28, 14.8435, 0, 126, 102, 28, 129, 21
138, 29, 14.96, 0, 126, 102, 28, 129, 21
139, 29, 15.436, 0, 126, 102, 29, 129, 21
140, 29, 16.1632, 0, 126, 102, 28, 129, 21
141, 29, 13.0954, 0, 126, 102, 29, 128, 22
142, 29, 14.9251, 0, 126, 102, 29, 128, 21
143, 30, 12.7466, 0, 126, 102, 29, 128, 22
144, 26, 22.063, 0, 126, 102, 28, 129, 21
145, 28, 14.3276, 0, 126, 102, 28, 129, 21
146, 28, 12.3973, 0, 126, 102, 28, 128, 21
147, 28, 11.3398, 0, 126, 102, 28, 129, 21
148, 28, 11.4244, 0, 126, 102, 28, 129, 21
149, 28, 13.5085, 0, 126, 102, 28, 129, 21
150, 28, 14.5302, 0, 126, 102, 28, 129, 21
151, 28, 14.5882, 0, 126, 102, 28, 129, 21
152, 28, 15.2169, 0, 126, 102, 29, 129, 22
153, 28, 13.4635, 0, 127, 101, 29, 129, 22
154, 28, 12.8945, 0, 127, 101, 29, 129, 22
155, 28, 15.678, 0, 126, 102, 29, 129, 21
156, 29, 16.4626, 0, 126, 102, 31, 129, 22
157, 29, 13.8008, 0, 127, 102, 31, 129, 22
158, 29, 14.193, 0, 126, 102, 32, 129, 22
159, 29, 13.7739, 0, 126, 102, 32, 129, 22
160, 29, 13.4624, 0, 126, 102, 32, 129, 22
161, 30, 12.5251, 0, 125, 103, 32, 129, 22
162, 30, 14.1519, 0, 125, 103, 32, 128, 22
163, 30, 11.8489, 0, 125, 104, 32, 128, 22
164, 30, 14.9171, 0, 125, 104, 33, 128, 22
165, 31, 12.6253, 0, 125, 104, 33, 128, 22
166, 31, 14.3572, 0, 125, 104, 33, 128, 22
167, 32, 9.8659, 0, 125, 104, 34, 128, 22
168, 30, 23.3362, 0, 125, 104, 33, 128, 21
169, 30, 10.117, 0, 125, 103, 33, 128, 21
170, 31, 9.70636, 0, 125, 104, 33, 128, 21
171, 31, 11.0473, 0, 125, 104, 33, 128, 21
172, 31, 11.2796, 0, 125, 104, 33, 128, 22
173, 31, 10.6865, 0, 125, 104, 33, 128, 22
174, 31, 10.8855, 0, 125, 104, 34, 128, 22
175, 31, 11.5812, 0, 125, 104, 34, 128, 22
176, 32, 12.3967, 0, 125, 104, 34, 128, 22
177, 32, 11.6192, 0, 125, 104, 34, 128, 22
178, 32, 11.0973, 0, 125, 104, 34, 128, 22
179, 32, 11.4543, 0, 125, 104, 34, 128, 22
180, 32, 10.1766, 0, 125, 104, 35, 128, 23
181, 32, 11.5952, 0, 125, 104, 35, 128, 23
182, 33, 13.2637, 0, 125, 104, 35, 129, 23
183, 33, 13.3493, 0, 125, 104, 35, 128, 23
184, 33, 10.7209, 0, 125, 104, 36, 128, 23
185, 33, 8.91334, 0, 125, 104, 36, 128, 23
186, 34, 11.6435, 0, 125, 104, 36, 128, 24
187, 34, 8.57497, 0, 125, 104, 36, 128, 24
188, 34, 14.4283, 0, 125, 104, 36, 128, 24
189, 34, 11.2623, 0, 125, 104, 37, 128, 24
190, 35, 10.6658, 0, 124, 104, 37, 128, 24
191, 35, 8.57205, 0, 124, 104, 37, 128, 25
192, 34, 28.2308, 0, 124, 104, 36, 128, 24
193, 35, 17.2915, 0, 124, 104, 36, 128, 24
194, 35, 16.614, 0, 124, 104, 37, 128, 24
195, 35, 14.0529, 0, 124, 104, 37, 128, 24
196, 35, 10.5126, 0, 124, 104, 37, 128, 25
197, 35, 9.37801, 0, 124, 104, 37, 129, 25
198, 36, 9.24754, 0, 124, 104, 37, 129, 25
199, 35, 9.68306, 0, 124, 105, 37, 129, 25
200, 36, 11.8115, 0, 124, 105, 38, 128, 25
201, 36, 15.4101, 0, 124, 105, 37, 129, 25
202, 37, 16.4275, 0, 124, 105, 38, 128, 26
203, 37, 13.3767, 0, 124, 105, 38, 128, 26
204, 37, 11.0464, 0, 124, 105, 38, 128, 26
205, 37, 9.26304, 0, 124, 105, 38, 128, 26
206, 37, 8.6646, 0, 124, 105, 38, 128, 26
207, 37, 10.7165, 0, 124, 105, 38, 129, 26
208, 37, 11.4888, 0, 124, 105, 38, 128, 26
209, 38, 8.42157, 0, 124, 105, 39, 128, 26
210, 39, 10.7684, 0, 124, 105, 39, 129, 27
211, 39, 7.48941, 0, 124, 105, 40, 129, 27
212, 39, 10.8539, 0, 124, 105, 40, 129, 27
213, 40, 6.03329, 0, 124, 105, 40, 129, 28
214, 40, 10.2651, 0, 124, 105, 40, 129, 28
215, 40, 9.02816, 0, 124, 105, 41, 129, 28
216, 40, 27.5561, 0, 124, 105, 39, 129, 27
217, 40, 9.2633, 0, 124, 105, 40, 129, 28
218, 41, 8.54092, 0, 124, 105, 40, 129, 28
219, 40, 10.2087, 0, 124, 105, 40, 129, 28
220, 41, 11.4311, 0, 124, 105, 40, 129, 28
221, 41, 13.5849, 0, 123, 105, 40, 129, 28
222, 42, 12.4749, 0, 123, 105, 41, 129, 29
223, 43, 10.7204, 0, 123, 105, 41, 129, 29
224, 44, 12.0556, 0, 123, 105, 42, 129, 30
225, 43, 9.31701, 0, 123, 106, 41, 129, 30
226, 44, 9.85321, 0, 123, 106, 41, 129, 30
227, 43, 10.071, 0, 123, 106, 41, 129, 30
228, 44, 9.42553, 0, 123, 105, 42, 129, 30
229, 43, 10.886, 0, 123, 106, 41, 129, 30
230, 44, 12.4832, 0, 123, 105, 41, 129, 30
231, 43, 11.0093, 0, 123, 105, 41, 129, 30
232, 43, 8.50986, 0, 123, 105, 41, 129, 30
233, 44, 8.48169, 0, 123, 105, 41, 129, 30
234, 44, 11.4502, 0, 123, 105, 41, 129, 30
235, 44, 7.91379, 0, 123, 105, 42, 129, 31
236, 44, 9.89544, 0, 123, 105, 41, 129, 31
237, 44, 8.28775, 0, 123, 105, 41, 129, 31
238, 45, 10.3021, 0, 123, 105, 42, 129, 31
239, 45, 7.9738, 0, 123, 105, 42, 129, 31
240, 42, 19.053, 0, 123, 105, 40, 129, 29
241, 42, 7.41397, 0, 123, 105, 40, 129, 30
242, 43, 6.66432, 0, 123, 105, 40, 129, 30
243, 43, 10.9669, 0, 123, 105, 40, 129, 30
244, 43, 14.1254, 0, 123, 105, 41, 129, 30
245, 43, 13.7572, 0, 123, 105, 41, 129, 30
246, 43, 9.76171, 0, 123, 105, 41, 129, 30
247, 43, 6.96712, 0, 123, 106, 41, 129, 30
248, 44, 8.4191, 0, 123, 106, 41, 129, 31
249, 43, 7.53705, 0, 123, 106, 41, 129, 30
250, 43, 8.51329, 0, 123, 106, 41, 129, 30
251, 43, 9.22104, 0, 123, 106, 40, 129, 30
252, 44, 9.10381, 0, 123, 105, 41, 129, 30
253, 43, 10.0641, 0, 123, 105, 40, 129, 30
254, 43, 11.1078, 0, 123, 106, 41, 129, 30
255, 43, 10.0422, 0, 123, 106, 40, 129, 30
256, 43, 8.0535, 0, 123, 106, 41, 129, 30
257, 44, 7.59936, 0, 123, 105, 41, 129, 30
258, 44, 11.0523, 0, 123, 105, 41, 129, 31
259, 44, 7.17947, 0, 123, 105, 42, 129, 31
260, 44, 10.7259, 0, 123, 105, 41, 129, 31
261, 44, 5.99007, 0, 123, 105, 42, 129, 31
262, 44, 9.52345, 0, 123, 105, 42, 129, 31
263, 45, 6.71171, 0, 123, 105, 42, 129, 31
264, 42, 17.197, 0, 123, 105, 40, 129, 30
265, 43, 11.293, 0, 123, 105, 41, 129, 30
266, 43, 11.6326, 0, 123, 105, 41, 129, 30
267, 43, 9.80903, 0, 123, 105, 41, 129, 30
268, 43, 9.92398, 0, 123, 105, 41, 129, 31
269, 43, 11.8058, 0, 123, 105, 41, 129, 30
270, 43, 11.8079, 0, 123, 105, 41, 129, 30
271, 43, 12.7409, 0, 123, 105, 41, 129, 30
272, 43, 14.176, 0, 123, 105, 41, 129, 31
273, 43, 15.979, 0, 123, 106, 41, 129, 30
274, 43, 15.8205, 0, 123, 105, 41, 129, 30
275, 43, 15.0981, 0, 123, 106, 40, 129, 30
276, 44, 15.655, 0, 123, 106, 41, 129, 30
277, 43, 16.4082, 0, 123, 106, 40, 129, 30
278, 43, 17.1948, 0, 123, 106, 41, 129, 30
279, 43, 19.0709, 0, 123, 106, 40, 129, 30
280, 43, 19.9066, 0, 123, 106, 40, 129, 30
281, 44, 17.2579, 0, 123, 106, 41, 129, 30
282, 44, 17.117, 0, 123, 106, 41, 129, 31
283, 45, 14.4579, 0, 123, 106, 42, 129, 31
284, 44, 18.8255, 0, 123, 106, 42, 129, 31
285, 45, 18.6712, 0, 123, 106, 42, 129, 31
286, 45, 22.3699, 0, 123, 106, 42, 129, 31
287, 45, 24.0835, 0, 123, 106, 42, 129, 32
288, 31, 260.951, 13.0795, 140, 126, 26, 112, 23
289, 32, 34.406, 0.831572, 140, 126, 29, 112, 25
290, 33, 32.9968, 0, 140, 126, 29, 112, 25
291, 32, 35.7981, 0, 140, 126, 29, 112, 25
292, 33, 35.3783, 0, 140, 126, 29, 112, 25
293, 33, 36.3298, 0, 140, 127, 29, 112, 26
294, 33, 37.4311, 0, 139, 127, 29, 112, 26
295, 34, 45.4507, 0, 139, 127, 30, 112, 27
296, 33, 43.8871, 0, 139, 126, 30, 112, 27
297, 34, 45.3363, 0, 139, 126, 30, 112, 27
298, 33, 41.8182, 0, 139, 126, 30, 112, 26
299, 33, 40.6368, 0, 140, 126, 30, 112, 26
300, 33, 41.4407, 0, 140, 126, 30, 112, 26
301, 33, 33.681, 0, 140, 125, 30, 112, 26
302, 33, 37.2564, 0, 139, 125, 30, 112, 26
303, 31, 43.3512, 0, 139, 126, 29, 113, 26
