ScenarioID,Device,OS,Content,Codec,ServedBitrate,SegmentLength,FrameRate,PlayerName,GPU,NICType,Bandwidth,Metric
4e1d065f00b34533ba22813088854a18,laptop,windows-10,Lifting_Off,x264,2,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
0cd699cb3c5044ae9c4687d9b8c3fc5a,laptop,windows-10,Lifting_Off,x264,3,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
d597b3bec2314771954da32061ea8d61,laptop,windows-10,Lifting_Off,x264,4,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
31c102a2a47741f2a00ce112b371c1ab,laptop,windows-10,Lifting_Off,x264,5,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
163185e048334f63afcb1ae7546efc8d,laptop,windows-10,Lifting_Off,x264,6,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
a5bb82095d434f44968e3cf54826be4a,laptop,windows-10,Lifting_Off,x264,7,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
3053f2c047ce4e16a6981de967ea0cc7,laptop,windows-10,Lifting_Off,x264,8,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
ce29d9a58c2d4be1b23d0cee6522408e,laptop,windows-10,Lifting_Off,x264,9,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
a9dd3e534c8a41fa99a8d8f44076baf5,laptop,windows-10,Lifting_Off,x264,10,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
b4ffa8eaf3d949fca218b1825ff6e38f,laptop,windows-10,Lifting_Off,x264,11,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
28d618fa07f34085b30527d413ab3eaf,laptop,windows-10,Lifting_Off,x264,12,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
93ca6e2db1c84bdeba47bb01f4751d86,laptop,windows-10,Lifting_Off,x264,1,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
6feeae46e3ea45eb90a877ee0869e25b,laptop,windows-10,Lifting_Off,x264,2,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
cf6b987f61664ec09640d0633592f6e0,laptop,windows-10,Lifting_Off,x264,3,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
ac116d85d21c427c811e924f2f60b5e4,laptop,windows-10,Lifting_Off,x264,4,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
a59dfa20e6d34d9c9d8902248a87f482,laptop,windows-10,Lifting_Off,x264,5,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
2dc9cd1108f644b8b788b66fe6d93ace,laptop,windows-10,Lifting_Off,x264,6,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
fd3a0e7f186d4c93a9408b3f228d55fb,laptop,windows-10,Lifting_Off,x264,7,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
6feba79c80934042a5358e14c8efe816,laptop,windows-10,Lifting_Off,x264,8,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
83fdc97655cd4a3e91ed65e134a9ee7d,laptop,windows-10,Lifting_Off,x264,9,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
600080d3365e45879c050706931a04cf,laptop,windows-10,Lifting_Off,x264,10,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
4ee797aa78be42afbd86da0cd907bcf4,laptop,windows-10,Lifting_Off,x264,11,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
02c98ed7ea684f4f829d3eea176b1c0f,laptop,windows-10,Lifting_Off,x264,12,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
7bd148973ac347bb99a606e03a069ba7,laptop,windows-10,Lifting_Off,x264,1,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
f6e7c2e424f643f98473422f35240f93,laptop,windows-10,Lifting_Off,x264,2,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
8b372f4352884d20bd53b0b811449317,laptop,windows-10,Lifting_Off,x264,3,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
6f3e89869e084fd3ba270884f5f8ab2d,laptop,windows-10,Lifting_Off,x264,4,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
ac69c7e5f7d94b13a2a7182f846dfe97,laptop,windows-10,Lifting_Off,x264,5,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
a78f30bfb34e48cb80619708a223be0a,laptop,windows-10,Lifting_Off,x264,6,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
95bb5854caf9494a92a01d0c108161fe,laptop,windows-10,Lifting_Off,x264,7,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
5633903016084f6795fb18a2528cbe1e,laptop,windows-10,Lifting_Off,x264,8,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
741092a2845844e8b060f03ddb3042ee,laptop,windows-10,Lifting_Off,x264,9,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
95eca95957e54209a6e16f6aa73e60ac,laptop,windows-10,Lifting_Off,x264,10,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
9d436b7f7bca4893a9977773ac285620,laptop,windows-10,Lifting_Off,x264,11,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
6aecf21627e9460a88fe1bd57596efab,laptop,windows-10,Lifting_Off,x264,12,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
5d2b3a3aaff641d1b65c213eb9197bb9,laptop,windows-10,Lifting_Off,x264,1,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
7f099862717145c9b972d809dc07a8d2,laptop,windows-10,Lifting_Off,x264,2,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
62c5a6fdfd7848e695b1d88aff374504,laptop,windows-10,Lifting_Off,x264,3,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
