Sec.,PowerMeter(ADC)
4,0.19153170414201176
5,0.41165917159763293
6,0.4276349408284026
7,0.28457433727810666
8,0.30430665088757414
9,0.30041672189349117
10,0.30812496449704135
11,0.32216061538461493
12,0.3293980591715974
13,0.3346850710059172
14,0.3349513786982247
15,0.32972278698224833
16,0.29758394082840245
17,0.3130996982248523
18,0.30175897041420136
19,0.3162308994082841
20,0.30554793491124244
21,0.2993898934911245
22,0.31136948520710056
23,0.32990365088757406
24,0.31762563905325425
25,0.3239486331360946
26,0.3075014260355033
27,0.29696046745562127
28,0.288155426035503
29,0.3248790295857988
30,0.29828752662721897
31,0.3070984615384614
32,0.3133875088757395
33,0.3115745147928994
34,0.31393592899408324
35,0.30151720710059177
36,0.29527878106508876
37,0.30533334319526595
38,0.3054083846153845
39,0.3048726863905323
40,0.30932562130177516
41,0.28982673372781104
42,0.30371050295857976
43,0.3109336982248523
44,0.3066286213017754
45,0.2933912544378696
46,0.3066983609467458
47,0.2897672307692309
48,0.3057378816568043
49,0.30571949112426017
50,0.31256274556213015
51,0.31332180473372806
52,0.3249186627218936
53,0.30978707100591696
54,0.31750917159763303
55,0.30342333136094685
56,0.30278050295858
57,0.30100246153846155
58,0.3146301360946744
59,0.3095573964497042
60,0.3034479881656808
61,0.30425356213017757
62,0.3121709289940826
63,0.2995132307692306
64,0.2989148402366866
65,0.26744302958579863
66,0.27872519526627215
67,0.2588246390532545
68,0.271129053254438
69,0.2624332189349113
70,0.27236776923076916
71,0.2927124733727813
72,0.29969342011834327
73,0.2990263964497043
74,0.30275372189349103
75,0.28643313017751476
76,0.29952105325443806
77,0.2867514023668639
78,0.2865058224852074
79,0.28967585207100593
80,0.29508614792899407
81,0.2908563846153848
82,0.30991430177514795
83,0.3003273846153845
84,0.29531300591715975
85,0.296803952662722
86,0.2961926272189348
87,0.29980111834319545
88,0.31841505325443786
89,0.29274689940828424
90,0.2952438224852071
91,0.29476588165680473
92,0.29728819526627204
93,0.2999369644970414
94,0.30310237278106505
95,0.28252737869822436
96,0.28682849704142005
97,0.2907153431952662
98,0.28760907692307686
99,0.29735528402366856
100,0.31530794082840247
101,0.30151461538461555
102,0.3040082958579878
103,0.3033224319526629
104,0.2960240532544379
105,0.31174980473372776
106,0.304167775147929
107,0.2943626449704146
108,0.29666954437869786
109,0.29055909467455615
110,0.29315086390532513
111,0.31569544970414215
112,0.30495801775147907
113,0.30026985207100587
114,0.29843040236686386
115,0.29611882248520716
116,0.2974993195266271
117,0.31265666272189335
118,0.306417426035503
119,0.29663823668639067
120,0.3001762011834318
