Sec.,PowerMeter(ADC)
4,0.2957214011627906
5,0.293221319767442
6,0.2880403023255812
7,0.2916760523255813
8,0.2947158837209299
9,0.2887236220930234
10,0.2878125988372093
11,0.2904815755813953
12,0.2817019883720929
13,0.28532518604651175
14,0.28039904069767446
15,0.27586469767441835
16,0.2758037209302326
17,0.2772429302325582
18,0.27824633139534855
19,0.2817905639534882
20,0.27601011627906963
21,0.2731451104651164
22,0.275941604651163
23,0.27457972093023264
24,0.27519633720930203
25,0.27697752906976725
26,0.2858095813953485
27,0.27827374999999993
28,0.276581796511628
29,0.26353285465116316
30,0.26309091860465106
31,0.26552778488372114
32,0.2679598313953489
33,0.26367349418604635
34,0.2621622034883721
35,0.26315541860465147
36,0.26378914534883735
37,0.2641337616279069
38,0.2723262558139536
39,0.26268200581395357
40,0.2634086860465115
41,0.2653260697674419
42,0.26137892441860455
43,0.2691193953488374
44,0.25878462209302333
45,0.2594468953488369
46,0.2639483546511628
47,0.2588729011627906
48,0.26672644767441844
49,0.25808713953488394
50,0.2609683430232558
51,0.2600360872093023
52,0.26512923837209296
53,0.26806276744186047
54,0.2699746569767443
55,0.2740490872093021
56,0.27213558720930237
57,0.2714236453488371
58,0.26801634883720904
59,0.2664948488372093
60,0.2730830232558141
61,0.28118767441860476
62,0.28442802325581373
63,0.28260170930232553
64,0.27969556395348816
65,0.28388274418604653
66,0.28572699418604713
67,0.289331668604651
68,0.28022308720930245
69,0.27722315697674405
70,0.28059867441860437
71,0.2703163313953485
72,0.27111328488372083
73,0.2746814941860468
74,0.2748099302325585
75,0.26515816279069787
76,0.2612732732558136
77,0.26936352906976735
78,0.2720201395348834
79,0.27507033139534875
80,0.2646362383720928
81,0.2651536453488371
82,0.26462766279069777
83,0.27284991860465135
84,0.2871560639534884
85,0.2838570406976745
86,0.27964033720930226
87,0.2904983139534883
88,0.29923481395348833
89,0.2862217325581397
90,0.27753413953488393
91,0.2836322790697674
92,0.2818630813953487
93,0.272600401162791
94,0.2736266802325581
95,0.27875542441860457
96,0.27975926162790704
97,0.2851633488372093
98,0.2792777441860465
99,0.28420287790697707
100,0.27866240116279084
101,0.28029786627907005
102,0.2757525523255811
103,0.26386441860465093
104,0.26281008139534906
105,0.26917855232558124
106,0.27192625581395335
107,0.2840901395348836
108,0.2823450465116278
109,0.2805036104651165
110,0.28171891860465126
111,0.2766910930232552
112,0.2767100988372092
113,0.28269736046511645
114,0.27943460465116277
115,0.28317638372093
116,0.27555556395348846
117,0.2676485116279068
118,0.5225825116279071
119,0.2493868895348837
120,0.21800344186046533
