Sec.,PowerMeter(ADC)
4,0.30379856213017736
5,0.2861620591715978
6,0.2920448165680473
7,0.30473767455621303
8,0.3231387751479291
9,0.31160763313609446
10,0.3146331479289943
11,0.27549626627218954
12,0.28687222485207137
13,0.28374104733727823
14,0.2881591360946747
15,0.27961923076923084
16,0.29403727810650904
17,0.2887089644970415
18,0.2904368402366865
19,0.28934285207100574
20,0.31410938461538446
21,0.2873202130177511
22,0.27369839053254424
23,0.2722870177514792
24,0.29593482840236673
25,0.27899473372781014
26,0.28459258579881674
27,0.2949680769230768
28,0.29574128994082843
29,0.28861537278106486
30,0.2729152307692312
31,0.27853824852071024
32,0.28467601183431945
33,0.28573821301775154
34,0.2873466508875739
35,0.2777379999999998
36,0.27630950295857987
37,0.2803002189349112
38,0.285920627218935
39,0.29236059171597656
40,0.2768013609467453
41,0.2738902130177514
42,0.2712493195266273
43,0.29882069822485174
44,0.29100828994082817
45,0.29201166272189366
46,0.2955807869822486
47,0.2991377869822483
48,0.28881197041420115
49,0.2913059112426036
50,0.28863280473372815
51,0.28995426627218956
52,0.2790362248520709
53,0.28367846153846155
54,0.28796053846153874
55,0.2910394556213019
56,0.27901934319526617
57,0.28010683431952693
58,0.27648855621301777
59,0.2752194852071006
60,0.2496512189349111
61,0.25794767455621304
62,0.24033157396449706
63,0.26051153846153835
64,0.2513632307692307
65,0.2417781538461539
66,0.2707409585798815
67,0.28374281656804734
68,0.27263168639053253
69,0.2767699763313609
70,0.27494152662721905
71,0.2806096982248523
72,0.2708058875739646
73,0.27154740828402396
74,0.27036783431952655
75,0.2836839289940827
76,0.27189108284023655
77,0.2705226272189349
78,0.2721711242603553
79,0.2919735384615383
80,0.27541323076923063
81,0.27883611242603545
82,0.27092191715976327
83,0.2911809230769229
84,0.286668544378698
85,0.278567431952663
86,0.27278509467455603
87,0.29260304733727793
88,0.2782440473372779
89,0.2688829644970415
90,0.26811555029585765
91,0.27560056804733707
92,0.2724511005917158
93,0.2696495798816568
94,0.2805517573964497
95,0.2876472130177512
96,0.28499653254437873
97,0.28044602366863897
98,0.28391976923076906
99,0.283619431952663
100,0.27512956213017764
101,0.27504764497041406
102,0.2851272366863903
103,0.2773246863905326
104,0.2805740828402369
105,0.2762739526627217
106,0.28553801183431976
107,0.2771681775147929
108,0.27924866272189375
109,0.27721464497041426
110,0.2867416272189352
111,0.27822410059171593
112,0.2801491183431948
113,0.27857479881656805
114,0.2947364556213018
115,0.28170639053254426
116,0.27547603550295857
117,0.2718440946745565
118,0.26550328994082845
119,0.5305092189349112
120,0.2564778875739647
