Sec.,PowerMeter(ADC)
4,0.29720284302325595
5,0.28978319186046486
6,0.29240362790697705
7,0.28797944767441863
8,0.28172791279069775
9,0.2820602558139536
10,0.285484406976744
11,0.28471784883720913
12,0.28481497093023284
13,0.2886107674418604
14,0.28333934302325575
15,0.2896805174418606
16,0.2912945872093024
17,0.2814482325581394
18,0.28095527906976775
19,0.2780951279069767
20,0.2771568895348835
21,0.28380834302325564
22,0.27583912790697673
23,0.2812079593023256
24,0.27755144767441886
25,0.27638198255814
26,0.2777744186046515
27,0.28035571511627894
28,0.2821129709302328
29,0.27556309883720886
30,0.27284768604651183
31,0.27167588372093016
32,0.2731085755813951
33,0.2818593837209298
34,0.2742742209302325
35,0.27112359302325595
36,0.2737105813953489
37,0.2701590872093023
38,0.270036441860465
39,0.26675051744186046
40,0.2852398779069768
41,0.2789657616279068
42,0.2934112732558141
43,0.2842431976744188
44,0.285737575581395
45,0.2799951104651162
46,0.2846521453488372
47,0.2851710290697674
48,0.2765500465116278
49,0.285819139534884
50,0.2897109767441859
51,0.2920004418604652
52,0.2957947441860467
53,0.2947996976744187
54,0.293217703488372
55,0.29113587790697687
56,0.2918818779069768
57,0.28881144767441846
58,0.29359758720930224
59,0.28421637209302303
60,0.281837534883721
61,0.27749506395348866
62,0.2953478604651162
63,0.2918704941860464
64,0.27319534883720925
65,0.2725535639534885
66,0.27882306976744187
67,0.27948584883720956
68,0.2768354767441862
69,0.28011139534883733
70,0.2762414883720931
71,0.2770502790697676
72,0.2896058488372093
73,0.290624273255814
74,0.28757298837209294
75,0.29302105813953505
76,0.2966266918604652
77,0.28928537209302313
78,0.28815718604651175
79,0.2885160755813953
80,0.2959512965116277
81,0.28910841860465114
82,0.2869832558139537
83,0.2834172790697676
84,0.290992
85,0.290411558139535
86,0.28817654651162766
87,0.2936669360465116
88,0.29006797674418594
89,0.2892257616279074
90,0.29498199418604665
91,0.2858087093023257
92,0.2787071569767439
93,0.2837596279069768
94,0.2827335639534885
95,0.2818940290697675
96,0.2871916627906977
97,0.28733732558139546
98,0.29504274418604665
99,0.29588831976744173
100,0.2915870813953493
101,0.2876782558139534
102,0.2892248604651159
103,0.28829854651162806
104,0.2851192674418602
105,0.29440022674418587
106,0.3876173953488371
107,0.43632571511627816
108,0.2423913430232557
109,0.2109418720930236
110,0.21203718604651148
111,0.33973126162790696
112,0.5639363779069764
113,0.2979811046511627
114,0.31310175000000007
115,0.310898848837209
116,0.30535481976744167
117,0.31065677325581426
118,0.31068006976744195
119,0.30820950581395345
120,0.315145093023256
