Sec.,PowerMeter(ADC)
4,0.2119005147928994
5,0.6205316213017749
6,0.38389467455621273
7,0.35201021301775154
8,0.38617521893491136
9,0.3393401360946748
10,0.3582235857988166
11,0.3455142781065089
12,0.37240675739644974
13,0.36039350295857975
14,0.35501514792899397
15,0.3465111597633136
16,0.3526743609467451
17,0.33700998816568006
18,0.3435647988165677
19,0.3350700650887573
20,0.3536851479289938
21,0.3251324378698226
22,0.3228212130177516
23,0.3220051242603551
24,0.3479770650887575
25,0.33774837869822516
26,0.3482265029585799
27,0.3530355502958582
28,0.3392711597633139
29,0.3477327396449706
30,0.33978051479289934
31,0.35206063313609437
32,0.32934534911242624
33,0.3156367159763316
34,0.31830927810650866
35,0.33327156213017745
36,0.3346237100591716
37,0.33405594674556194
38,0.3169800946745563
39,0.3195712721893488
40,0.3295762130177516
41,0.3316706035502959
42,0.33479677514792916
43,0.3146977869822484
44,0.3345149999999997
45,0.3159908757396448
46,0.3100961715976332
47,0.32388394674556215
48,0.3223127633136094
49,0.30996725443786977
50,0.31501240828402355
51,0.30656833136094647
52,0.3168893195266273
53,0.3130698402366864
54,0.3192108461538462
55,0.3164001893491125
56,0.3273514023668639
57,0.3350955443786983
58,0.34719780473372786
59,0.32807675739644954
60,0.32765191715976333
61,0.3209550236686391
62,0.31963181656804746
63,0.33263697633136075
64,0.32676929585798786
65,0.33932366272189346
66,0.3451479171597633
67,0.345937674556213
68,0.34700773372781074
69,0.36084497041420116
70,0.34894953846153853
71,0.37981798816568063
72,0.3349272840236684
73,0.33394539053254435
74,0.35061694082840245
75,0.3470228757396448
76,0.33353972189349146
77,0.33226103550295877
78,0.3237717810650886
79,0.3311808994082838
80,0.3054319053254439
81,0.3070353017751481
82,0.3310976686390534
83,0.3385402781065089
84,0.3234854023668641
85,0.32980918934911246
86,0.3267821360946745
87,0.33088078698224865
88,0.34069527218934925
89,0.3445941834319529
90,0.3532312130177513
91,0.34173610059171594
92,0.3356977692307693
93,0.3398933076923075
94,0.3386428284023668
95,0.35562260355029585
96,0.3469864082840238
97,0.3403813846153846
98,0.3261443372781065
99,0.3363845857988162
100,0.3314714556213017
101,0.326547431952663
102,0.33379744970414216
103,0.35138885798816527
104,0.3435986331360947
105,0.3299023905325444
106,0.3348960591715973
107,0.34307116568047347
108,0.3083946686390535
109,0.311721940828402
110,0.3162112603550296
111,0.33042702366863935
112,0.34366466272189344
113,0.33857897041420115
114,0.34633669822485236
115,0.3668371005917157
116,0.34189357988165675
117,0.3425190650887577
118,0.336774076923077
119,0.363533071005917
120,0.32995391715976313
