Sec.,PowerMeter(ADC)
4,0.15213276331360945
5,0.6235557396449702
6,0.3547426627218932
7,0.3639612603550298
8,0.3707688579881655
9,0.34570497041420134
10,0.35104332544378725
11,0.34747131360946737
12,0.354361976331361
13,0.35162327218934913
14,0.35004837869822486
15,0.33817992899408283
16,0.3401308461538461
17,0.32808209467455623
18,0.3267741656804731
19,0.32096096449704165
20,0.33425752662721914
21,0.31778381065088773
22,0.3112568402366864
23,0.3096587633136096
24,0.3172129881656803
25,0.31377286982248526
26,0.3200960177514795
27,0.32069860355029567
28,0.33005678106508873
29,0.32387320710059164
30,0.32119940828402377
31,0.3246052485207101
32,0.3190053550295857
33,0.292625674556213
34,0.29455013017751525
35,0.2983823609467456
36,0.3003080946745561
37,0.2955497041420119
38,0.2946460177514792
39,0.29168369822485196
40,0.3054419349112425
41,0.29203910059171584
42,0.29180378698224846
43,0.2938478639053256
44,0.3086482721893486
45,0.29011036094674547
46,0.2874225798816568
47,0.28944856213017744
48,0.2979773905325446
49,0.28624200000000016
50,0.2882825266272188
51,0.2848417928994078
52,0.2935723195266273
53,0.29346273372781073
54,0.28330626627218913
55,0.2849070295857987
56,0.3096197573964497
57,0.30527805917159767
58,0.3038579822485205
59,0.3083321479289939
60,0.3199841656804738
61,0.3109267573964497
62,0.30485669822485206
63,0.3016424378698228
64,0.31250640828402365
65,0.3276267278106509
66,0.3257664023668645
67,0.33050492307692286
68,0.3410351124260358
69,0.33661569822485216
70,0.33132532544378707
71,0.34169030177514836
72,0.3333059349112427
73,0.32088990532544365
74,0.3220852781065088
75,0.31951836686390545
76,0.30636855029585774
77,0.30381732544378737
78,0.31497417751479284
79,0.3235835384615383
80,0.2901397159763314
81,0.2866442603550294
82,0.29971784023668663
83,0.32215352662721886
84,0.2999281301775144
85,0.30125406508875713
86,0.3001748639053255
87,0.309773153846154
88,0.319611278106509
89,0.3274356804733729
90,0.32436252071005917
91,0.33358300591715995
92,0.3218224970414201
93,0.323965573964497
94,0.3223493727810651
95,0.3351872485207104
96,0.32126546153846147
97,0.32366219526627227
98,0.3081594970414207
99,0.32344182248520725
100,0.3254062130177513
101,0.3223421893491123
102,0.3223604674556215
103,0.3421724674556211
104,0.32197508284023646
105,0.32014949112426
106,0.3207249467455623
107,0.3333370118343192
108,0.2881762721893489
109,0.28852035502958556
110,0.30065041420118327
111,0.3100252189349114
112,0.321118029585799
113,0.32491652662721915
114,0.3218558875739647
115,0.33404573964497053
116,0.31840434319526595
117,0.321348869822485
118,0.3252904733727811
119,0.33469192899408323
120,0.31829608284023664
