Sec.,PowerMeter(ADC)
4,0.23619001775147927
5,0.5846763076923074
6,0.34797180473372774
7,0.37409049112426007
8,0.3635955621301776
9,0.33566058579881675
10,0.3408463550295856
11,0.33924496449704145
12,0.35962364497041444
13,0.340453307692308
14,0.33055739644970406
15,0.323931337278107
16,0.3177052130177513
17,0.3186040118343197
18,0.3335080591715973
19,0.3138952307692305
20,0.33022057396449717
21,0.29758422485207114
22,0.2978949408284021
23,0.2999348461538463
24,0.3008618402366867
25,0.31558129585798794
26,0.31647974556213027
27,0.31259843786982283
28,0.3137714437869823
29,0.30950947337278084
30,0.32618555029585794
31,0.32309107692307676
32,0.28738472189349107
33,0.29674721301775175
34,0.28680301775147954
35,0.2806114378698225
36,0.32076153254437856
37,0.2880697869822487
38,0.28448668639053243
39,0.2860894082840239
40,0.28299582248520727
41,0.2829736331360946
42,0.2858872248520707
43,0.27875662721893474
44,0.29406252662721905
45,0.2813263372781068
46,0.27696711834319515
47,0.2798979999999998
48,0.2788488165680474
49,0.2797525917159764
50,0.27324920710059186
51,0.2895223017751476
52,0.28767301183431915
53,0.28329351479289966
54,0.28603934319526625
55,0.2906153017751478
56,0.28564775739644954
57,0.29763040236686367
58,0.2945691005917158
59,0.30827641420118346
60,0.2968471124260358
61,0.29922846745562137
62,0.2939234201183435
63,0.2918035266272191
64,0.3008321005917159
65,0.32060607100591704
66,0.32765055621301775
67,0.34445272781065067
68,0.3271423136094674
69,0.32721779289940806
70,0.32658900591715984
71,0.32682057396449715
72,0.3223454674556211
73,0.32127678698224865
74,0.3070575266272189
75,0.3187278224852069
76,0.2950604082840235
77,0.2979495088757397
78,0.3142919526627223
79,0.29966242011834326
80,0.2780695562130176
81,0.2861104970414201
82,0.2862821183431953
83,0.30653273964497046
84,0.288620266272189
85,0.29090708875739646
86,0.28954798816568034
87,0.2921262899408282
88,0.3168223846153847
89,0.3186824437869824
90,0.31566986982248507
91,0.3313369112426039
92,0.3290030414201184
93,0.3148919349112424
94,0.31482867455621355
95,0.31594371005917143
96,0.3241180414201183
97,0.31699862130177514
98,0.3018548106508876
99,0.3282682781065088
100,0.3154440414201181
101,0.3155022011834321
102,0.3160548934911244
103,0.3171247455621303
104,0.32117556804733755
105,0.31689639053254476
106,0.3128230473372785
107,0.325625656804734
108,0.27972462130177517
109,0.2815322426035502
110,0.3005635680473373
111,0.3010901124260352
112,0.31825099999999973
113,0.3149652485207102
114,0.32519949112426005
115,0.3236657810650887
116,0.3252410769230768
117,0.3215451597633135
118,0.31654556804733747
119,0.3151548224852072
120,0.30865828994082817
