Sec.,PowerMeter(ADC)
4,0.16233224852070996
5,0.5456343550295861
6,0.28051527218934946
7,0.28233105325443775
8,0.2939492011834321
9,0.284513053254438
10,0.28827324260355053
11,0.30115950887573956
12,0.3183874497041423
13,0.3067794497041422
14,0.3064699171597632
15,0.29462818934911217
16,0.2808630591715979
17,0.27714528994082815
18,0.28250618934911237
19,0.28118475147928995
20,0.2912571183431955
21,0.2863868698224849
22,0.2856815502958581
23,0.288844307692308
24,0.31144418343195257
25,0.296845301775148
26,0.2747671183431954
27,0.2693009289940829
28,0.2821752130177519
29,0.27744908284023667
30,0.2774488224852073
31,0.28838923668639066
32,0.29592142011834316
33,0.29475560355029584
34,0.276177627218935
35,0.276998775147929
36,0.2832145917159765
37,0.28353493491124276
38,0.2845814733727814
39,0.28193472189349095
40,0.2899158698224853
41,0.2735310591715979
42,0.29045504733727795
43,0.2794587100591717
44,0.28847742603550264
45,0.2769750295857988
46,0.2705922899408284
47,0.2758219763313614
48,0.29810809467455646
49,0.2872911656804736
50,0.29413982248520687
51,0.289942325443787
52,0.3008752485207099
53,0.2895720236686391
54,0.2932793076923075
55,0.28313714792899414
56,0.2861115266272192
57,0.2856454674556216
58,0.2781452899408283
59,0.29455965088757396
60,0.2813803964497042
61,0.2799609763313612
62,0.27958811834319536
63,0.28067285207100606
64,0.2553714556213014
65,0.25123224852070986
66,0.2568230591715976
67,0.2618599704142013
68,0.24101830177514794
69,0.2501271656804734
70,0.25662707100591725
71,0.2812711360946751
72,0.2732048698224855
73,0.27008140236686384
74,0.2683329349112428
75,0.2835022485207098
76,0.26605943786982295
77,0.2711509349112426
78,0.268324402366864
79,0.27880837869822483
80,0.27064244970414186
81,0.2692611538461538
82,0.27049474556213005
83,0.28838094082840215
84,0.27628603550295827
85,0.27928547928994085
86,0.274832372781065
87,0.2828071538461536
88,0.27421509467455607
89,0.2748481597633135
90,0.2749175739644972
91,0.2864195325443785
92,0.2779279704142014
93,0.27146230769230756
94,0.26338853254437883
95,0.2772830414201183
96,0.27185131360946774
97,0.26908680473372776
98,0.27083307100591736
99,0.28655972189349105
100,0.28077729585798816
101,0.27945198816568034
102,0.274433118343195
103,0.2838718994082843
104,0.2725682840236688
105,0.27643378698224835
106,0.2727338934911242
107,0.28354363905325447
108,0.273046597633136
109,0.273343195266272
110,0.27181444378698233
111,0.28819439053254436
112,0.27629689349112424
113,0.28607507692307693
114,0.2731055798816571
115,0.2904158579881655
116,0.2750505325443787
117,0.2755471124260356
118,0.2734358165680473
119,0.2926790355029589
120,0.2792406627218937
