Sec.,PowerMeter(ADC)
4,0.34142042011834334
5,0.33705599999999986
6,0.3252450059171597
7,0.32738281065088737
8,0.32461414201183436
9,0.3273262662721893
10,0.3254807573964498
11,0.32490084023668636
12,0.31162569822485164
13,0.30585258579881647
14,0.3000580473372779
15,0.3087229704142011
16,0.30546659171597657
17,0.3001240473372782
18,0.2841638461538464
19,0.28353609467455615
20,0.2850385384615385
21,0.3004647455621304
22,0.3006370650887575
23,0.29793176923076914
24,0.2974635443786981
25,0.3002700650887574
26,0.30209438461538446
27,0.3056505680473376
28,0.303897775147929
29,0.2720344260355028
30,0.2862266094674557
31,0.27944490532544364
32,0.2703633254437867
33,0.2710775798816567
34,0.28361632544378707
35,0.26944935502958556
36,0.2722715621301772
37,0.2686825857988163
38,0.2679087218934909
39,0.27665294082840247
40,0.27261031360946697
41,0.2738033846153848
42,0.2666549230769231
43,0.2659525562130178
44,0.2660924792899406
45,0.27218870414201185
46,0.26717665088757364
47,0.26315733727810664
48,0.261938650887574
49,0.26342165088757385
50,0.2671023727810651
51,0.2637246508875738
52,0.2645231065088753
53,0.2732087573964496
54,0.2813855266272191
55,0.28153802366863917
56,0.28541392307692315
57,0.2879174970414201
58,0.287548928994083
59,0.2798227810650888
60,0.29224819526627227
61,0.2879143372781067
62,0.30738243786982267
63,0.3073596213017753
64,0.3128627928994084
65,0.3091088579881661
66,0.3151246686390531
67,0.31231437869822476
68,0.31227366863905326
69,0.298436946745562
70,0.30514523668639026
71,0.2967883846153847
72,0.28718352071005926
73,0.2841791952662723
74,0.28330804733727843
75,0.302095852071006
76,0.29710505917159746
77,0.265237597633136
78,0.2679852958579881
79,0.2786885739644972
80,0.28646868639053247
81,0.2752366863905324
82,0.27703920118343195
83,0.2724606568047335
84,0.27593614201183425
85,0.3023033609467459
86,0.3065185384615382
87,0.3008284437869821
88,0.3014032426035503
89,0.30439094082840223
90,0.3124282958579879
91,0.3035813550295857
92,0.30307543786982233
93,0.3015580118343195
94,0.30116917159763307
95,0.2949763017751479
96,0.3001946627218932
97,0.3008312366863902
98,0.3078846390532543
99,0.29959930177514754
100,0.3180181124260355
101,0.3021780473372783
102,0.30004550295858023
103,0.3016526449704141
104,0.28813597041420125
105,0.27147804142011844
106,0.2730202130177514
107,0.27844376923076924
108,0.28220870414201155
109,0.30827664497041424
110,0.3051455680473375
111,0.30170473964497035
112,0.30334406508875716
113,0.31043159171597623
114,0.3008344082840236
115,0.30436647928994065
116,0.3089444792899411
117,0.2929032189349115
118,0.2911523254437869
119,0.2981180887573965
120,0.503481668639053
