Sec.,PowerMeter(ADC),PowerNvi,GPU-T,GPU-D,CPU-R,CPU-G
4,0.7052662747252747,5422.0,6.0,0.0,0.0,20.3
5.035714285714286,0.7073260109890107,4462.0,13.0,0.0,0.0,26.6
6.071428571428571,0.7107934835164833,4535.0,16.0,0.0,0.0,21.9
7.107142857142857,1.2969498901098904,4662.0,19.0,0.0,0.0,45.3
8.142857142857142,0.9916747802197807,10898.0,13.0,0.0,0.0,17.2
9.178571428571429,0.9899281538461536,11028.0,2.0,0.0,0.0,25.0
10.214285714285715,0.8194814395604394,11011.0,2.0,0.0,0.0,14.1
11.250000000000002,0.7761894065934064,4476.0,9.0,0.0,0.0,18.8
12.285714285714288,0.8017166813186821,4548.0,16.0,0.0,0.0,17.2
13.321428571428575,0.9040079780219779,4503.0,18.0,0.0,0.0,20.3
14.357142857142861,0.8080753736263736,4492.0,19.0,0.0,0.0,23.4
15.392857142857148,0.7697445274725276,4546.0,21.0,0.0,0.0,25.0
16.428571428571434,0.770122945054945,4502.0,22.0,0.0,0.0,25.0
17.46428571428572,0.7898244835164833,4564.0,22.0,0.0,0.0,26.6
18.500000000000004,0.798525494505495,4582.0,22.0,0.0,0.0,23.4
19.53571428571429,0.7731651868131869,4702.0,20.0,0.0,0.0,24.6
20.571428571428573,0.7516525934065931,4646.0,17.0,0.0,0.0,25.0
21.607142857142858,0.7844833076923073,4597.0,16.0,0.0,0.0,15.6
22.642857142857142,0.8042473296703297,4602.0,16.0,0.0,0.0,9.4
23.678571428571427,0.7713490000000003,4607.0,16.0,0.0,0.0,12.5
24.71428571428571,0.748954692307692,4541.0,16.0,0.0,0.0,21.9
25.749999999999996,0.7738597692307693,4573.0,16.0,0.0,0.0,25.0
26.78571428571428,0.7229810329670329,4457.0,16.0,0.0,0.0,28.1
27.821428571428566,0.8076675714285713,4496.0,15.0,0.0,0.0,26.6
28.85714285714285,0.77213732967033,4556.0,16.0,0.0,0.0,23.4
29.892857142857135,0.7543517032967022,4541.0,16.0,0.0,0.0,54.7
30.92857142857142,0.7553575164835166,4613.0,16.0,0.0,0.0,20.3
31.964285714285705,0.7689646483516486,4546.0,16.0,0.0,0.0,15.6
32.99999999999999,0.8248789999999999,4588.0,16.0,0.0,0.0,20.3
34.03571428571428,0.7737013076923075,4543.0,16.0,0.0,0.0,20.3
35.07142857142856,0.7766548791208795,4509.0,16.0,0.0,0.0,31.3
36.10714285714285,0.7569237142857141,4614.0,16.0,0.0,0.0,15.6
37.14285714285713,0.7956797582417582,4590.0,16.0,0.0,0.0,21.5
38.178571428571416,0.8258326043956041,4585.0,16.0,0.0,0.0,32.8
39.2142857142857,0.7990150659340659,4642.0,16.0,0.0,0.0,21.9
40.249999999999986,0.781377153846154,4622.0,16.0,0.0,0.0,17.2
41.28571428571427,0.7932314505494505,4616.0,16.0,0.0,0.0,20.3
42.321428571428555,0.7857182967032968,4531.0,20.0,0.0,0.0,18.8
43.35714285714284,0.8056977912087909,4599.0,20.0,0.0,0.0,20.0
44.392857142857125,0.7699223956043958,4668.0,20.0,0.0,0.0,18.8
45.42857142857141,0.7774238901098902,4595.0,20.0,0.0,0.0,20.3
46.464285714285694,0.7653484395604396,4604.0,20.0,0.0,0.0,21.9
47.49999999999998,0.755405065934066,4602.0,21.0,0.0,0.0,10.9
48.53571428571426,0.828600428571429,4610.0,21.0,0.0,0.0,14.1
49.57142857142855,0.7870005494505495,4574.0,21.0,0.0,0.0,25.0
50.60714285714283,0.7844064725274726,4692.0,23.0,0.0,0.0,14.1
51.64285714285712,0.7576850549450552,4688.0,24.0,0.0,0.0,25.0
52.6785714285714,0.7507966923076922,4790.0,26.0,0.0,0.0,26.6
53.71428571428569,0.8135999340659343,4802.0,26.0,0.0,0.0,23.4
54.74999999999997,0.769329230769231,4620.0,26.0,0.0,0.0,26.6
55.785714285714256,0.757942450549451,4735.0,24.0,0.0,0.0,31.3
56.82142857142854,0.7889291098901103,4828.0,22.0,0.0,0.0,20.3
57.857142857142826,0.7736439780219783,4681.0,21.0,0.0,0.0,12.5
58.89285714285711,0.7858940000000004,4671.0,21.0,0.0,0.0,15.6
59.928571428571395,0.7786371868131872,4664.0,21.0,0.0,0.0,25.0
60.96428571428568,0.7737753516483513,4856.0,21.0,0.0,0.0,18.8
61.999999999999964,0.7894394395604397,4619.0,21.0,0.0,0.0,18.8
63.03571428571425,0.7485292087912089,4614.0,20.0,0.0,0.0,15.6
64.07142857142854,1.1829974835164836,4599.0,20.0,0.0,0.0,15.6
65.10714285714283,0.7749650109890107,4666.0,20.0,0.0,0.0,10.8
66.14285714285712,0.7663319999999998,4576.0,20.0,0.0,0.0,14.1
